"","gene_names","protein","log2FC","pval","TICI_1","VEH_1","TICI_2","TICI_3","VEH_3","TICI_4","VEH_4","TICI_5","VEH_5","log2FoldChange","padj","significance","Significance","pbs_tpm","tici_tpm","TICI_abundance","VEH_abundance","log10_pbs_tpm","log10_tici_tpm"
"524","Ndufv2","P19234",-0.185383605957032,0.129187232269938,15.48133,15.69406,15.17122,15.54969,15.68809,15.40534,15.47196,15.67659,15.71476,-0.38078794558141,0.00993279288111493,"RNA only","RNA only (n = 966)",445.556833833333,296.270147833333,15.456834,15.6422175,2.64890310914936,2.47168789419219
"525","Nebl","Q9DC07",-0.110284948348999,0.387047872838835,15.63787,15.78714,15.48432,15.72214,15.82811,15.65363,15.69073,16.05634,15.9786,1.83448269651472,2.83901246982537e-08,"RNA only","RNA only (n = 966)",6.22053033333333,20.4150791666667,15.71086,15.821145,0.793827412186304,1.30995106839224
"526","Nedd4l","Q8CFI0",-0.144867658615112,0.608227075116329,14.9464,15.43114,14.20617,15.01393,14.73962,14.35232,14.36796,14.67948,14.59939,0.549306936738098,0.0181822701774001,"RNA only","RNA only (n = 966)",15.430435,18.9428295,14.63966,14.7845275,1.18837816944855,1.27744485029851
"527","Nedd8","Q71UE8",-0.0912367820739739,0.588370742806081,14.43032,14.28793,14.58344,14.26671,14.70174,14.69892,14.64555,14.79665,14.95056,0.648933196896553,8.49367416301668e-05,"RNA only","RNA only (n = 966)",288.866427833333,381.289237,14.555208,14.646445,2.46069707090631,2.58125454621917
"528","Nfkb1","P25799",-0.0081919670104984,0.961202977469872,15.01655,15.2454,14.57548,15.16357,14.82962,14.74541,14.69256,15.08473,14.93378,2.17125409314855,8.31722014194344e-45,"RNA only","RNA only (n = 966)",28.7032046666667,113.657005833333,14.917148,14.92534,1.45793038772188,2.05559621085714
"529","Nfs1","Q99P39",-0.0168019294738766,0.933056089167783,11.04501,11.2532,10.75004,11.08328,10.91692,10.67154,10.38424,10.97742,11.13468,-0.669208131462728,2.01873279567733e-05,"RNA only","RNA only (n = 966)",116.428199,64.273476,10.905458,10.92226,2.06605817951403,1.80803178780207
"530","Nit2","Q497B0",-0.099923992156981,0.346555620254308,17.90254,17.90425,17.60523,17.9741,18.04346,17.92833,17.97489,18.10083,18.08592,-0.796873361179045,2.72938692401584e-07,"RNA only","RNA only (n = 966)",216.277908833333,105.7198075,17.902206,18.00213,2.33501216177961,2.02415636367492
"531","Nln","P42676",0.0782575607299805,0.353108347352465,16.87676,16.67604,16.63325,16.80725,16.76914,16.72281,16.61123,16.96522,16.83479,0.81626680068045,1.47918866611786e-07,"RNA only","RNA only (n = 966)",49.5420926666667,75.1560391666667,16.801058,16.7228,1.69497434731221,1.87596388407634
"532","Nme1","Q05982",-0.145362377166748,0.211946959249792,16.87075,16.94512,16.78162,16.94467,17.0999,16.9769,17.09115,17.23191,17.28996,0.437596808819321,0.0116003550440558,"RNA only","RNA only (n = 966)",109.561934666667,117.089408666667,16.96117,17.1065325,2.0396596925089,2.06851761270129
"533","Nmt1","Q8K1Q0",0.0281565666198738,0.843608869504861,17.38144,17.34698,16.85453,17.37407,17.23042,17.18544,16.98682,17.41179,17.28897,0.985003962327738,6.43701583251334e-12,"RNA only","RNA only (n = 966)",86.630775,145.803755166667,17.241454,17.2132975,1.93767219962027,2.16376870935343
"534","Nnt","Q61941",-0.118605136871338,0.40049027940778,18.06392,18.11177,18.10421,18.15422,18.40532,18.36897,18.38898,18.54898,18.56059,-0.63468132696415,8.39934783931878e-06,"RNA only","RNA only (n = 966)",65.9193121666667,36.1696096666667,18.24806,18.366665,1.81901266707832,1.55834382199006
"535","Nop56","Q9D6Z1",-0.0511888504028306,0.590495296422003,16.45366,16.42188,16.17133,16.4644,16.52719,16.45367,16.41833,16.63126,16.57681,0.389811357367146,0.0113521613933131,"RNA only","RNA only (n = 966)",104.5076495,128.779730166667,16.434864,16.4860525,2.01914808005524,2.1098475107759
"536","Nop58","Q9QZ86",-0.0197575569152839,0.814718093156919,16.07178,16.08543,16.06143,16.13609,16.25597,16.24468,16.13033,16.37077,16.3151,0.707297690976643,0.000391302381065963,"RNA only","RNA only (n = 966)",48.4216435,71.9868798333333,16.17695,16.1967075,1.68503952593322,1.85725335010895
"537","Nosip","Q9D6T0",-0.0357460498809807,0.916047211346155,12.27129,12.95283,11.54718,11.84396,11.78749,11.87191,11.45003,12.15118,11.70105,0.714139099837311,0.000279485042647545,"RNA only","RNA only (n = 966)",93.0650506666667,130.024732,11.937104,11.97285,1.9687866181214,2.11402596730331
"538","Npm1","P13084",-0.0768424034118667,0.58591283682036,18.21067,18.34642,17.67845,18.10784,18.09841,18.10114,18.03182,18.29724,18.14699,0.382365203375785,0.00120954799376768,"RNA only","RNA only (n = 966)",206.587004,256.485685,18.079068,18.15591,2.31510299739361,2.40906313124513
"539","Nqo1","P05982",-0.140175056457519,0.534381326568788,19.2447,19.75577,19.54448,19.13659,19.24233,19.3996,19.38812,19.92587,19.97547,0.629184709709664,0.000723920882369173,"RNA only","RNA only (n = 966)",625.332508833333,882.146968,19.450248,19.5904225,2.79611100670712,2.94554094576018
"540","Nras","Q61411;P32883;P08556",-0.161385536193848,0.130240879075091,17.00339,17.32307,16.85975,17.1334,17.23079,17.04942,17.04367,17.26389,17.29589,0.685809608679201,8.81701018229049e-07,"RNA only","RNA only (n = 966)",77.3486398333333,110.6668605,17.06197,17.223355,1.88845268108553,2.04401758965311
"541","Nras","Q04970;P20171;P08644",-0.161385536193848,0.130240879075091,17.00339,17.32307,16.85975,17.1334,17.23079,17.04942,17.04367,17.26389,17.29589,0.685809608679201,8.81701018229049e-07,"RNA only","RNA only (n = 966)",77.3486398333333,110.6668605,17.06197,17.223355,1.88845268108553,2.04401758965311
"542","Nsfl1c","O35987",-0.0982064247131333,0.378290216022624,17.75961,17.9379,17.45145,17.874,17.84941,17.62763,17.66442,17.8773,17.81309,0.609668412778131,6.18842542422302e-06,"RNA only","RNA only (n = 966)",220.404533166667,289.614588833333,17.717998,17.816205,2.34322052261633,2.46182043490851
"543","Nsun2","Q1HFZ0",-0.576279830932616,0.221380861807032,12.01629,12.55619,11.14115,12.20044,11.94826,11.45435,11.55885,12.16192,13.42114,0.495178104292711,0.00662672664253668,"RNA only","RNA only (n = 966)",29.7432893333333,38.3975633333333,11.79483,12.37111,1.473388995804,1.58430366539712
"544","Nt5c2","Q3V1L4",-0.091679573059082,0.649918612905129,15.92251,16.14328,15.28204,15.66039,15.59866,15.40201,15.35511,15.62779,15.58546,0.492023823965865,0.0114353493405118,"RNA only","RNA only (n = 966)",27.33892,33.6313125,15.578948,15.6706275,1.43678135414897,1.52674381647862
"545","Nt5dc2","Q6Q0N3",-0.168271732330322,0.107669886371294,13.84999,14.0348,13.4996,13.86738,13.87978,13.7602,13.7932,13.82377,14.00606,-1.12822458240256,2.19337360187142e-13,"RNA only","RNA only (n = 966)",138.6945305,52.4559383333333,13.760188,13.92846,2.14205933475385,1.71979466010659
"546","Ntmt1","Q5BJX0",-0.167838907241821,0.396748753182308,14.69767,14.92161,13.96867,14.65827,14.54116,14.29132,14.3629,14.56885,14.59351,0.610029645695158,0.00307834265587063,"RNA only","RNA only (n = 966)",66.027877,85.4984366666667,14.436956,14.604795,1.81972733358972,1.93195817375452
"547","Ntrk2","Q63604",-0.306237411499023,0.0739403096992008,12.72968,13.14311,13.16602,13.18636,13.47915,13.24055,13.50792,13.31274,13.60305,-0.30650851288194,0.0155939722671418,"RNA only","RNA only (n = 966)",370.545942833333,254.984760333333,13.12707,13.4333075,2.56884206246922,2.40651422474408
"548","Nudc","Q63525",0.055833244323729,0.665952395351441,17.32948,17.19528,16.79284,17.09702,16.96251,16.98092,16.87352,17.23482,17.09342,0.490455337941817,0.00105356049776579,"RNA only","RNA only (n = 966)",219.610515333333,265.027837,17.087016,17.0311825,2.34165313105086,2.42329149212763
"549","Numa1","E9Q7G0",-0.151245784759521,0.382908827331448,11.60557,11.9994,11.59162,12.17966,12.07327,11.67671,11.90595,12.21046,12.03758,-0.641045829456162,0.00109242938719775,"RNA only","RNA only (n = 966)",25.510523,13.8734483333333,11.852804,12.00405,1.4067193623215,1.14218442113132
"550","Nup188","Q6ZQH8",-0.170531511306763,0.454177030965998,14.9913,15.30599,14.25281,15.03248,14.98148,14.60484,14.54936,14.8978,14.86868,0.527482686646728,0.015915401529579,"RNA only","RNA only (n = 966)",12.1752735,15.2010998333333,14.755846,14.9263775,1.08547872579687,1.18187501125186
"551","Nutf2","P61972",-0.108577060699464,0.303577198768411,16.26239,16.34407,16.06798,16.32943,16.42453,16.19019,16.23555,16.50595,16.51491,0.387615154308427,0.00997343064219043,"RNA only","RNA only (n = 966)",151.862432166667,172.329840833333,16.271188,16.379765,2.18145035108058,2.2363604868916
